idx,image_path,gt_label,pred_label,pred_conf,saved_png
157,C:\Users\umaim\Downloads\archive\Structured\data\test\clapping\Image_11170.jpg,clapping,laughing,0.9851,failure_cases_resnet\fail_022_clapping_pred-laughing_0.99.png
1728,C:\Users\umaim\Downloads\archive\Structured\data\test\texting\Image_12098.jpg,texting,using_laptop,0.9845,failure_cases_resnet\fail_023_texting_pred-using_laptop_0.98.png
1614,C:\Users\umaim\Downloads\archive\Structured\data\test\sleeping\Image_12182.jpg,sleeping,using_laptop,0.9844,failure_cases_resnet\fail_024_sleeping_pred-using_laptop_0.98.png
26,C:\Users\umaim\Downloads\archive\Structured\data\test\calling\Image_11254.jpg,calling,listening_to_music,0.9841,failure_cases_resnet\fail_025_calling_pred-listening_to_music_0.98.png
825,C:\Users\umaim\Downloads\archive\Structured\data\test\fighting\Image_11992.jpg,fighting,running,0.9819,failure_cases_resnet\fail_026_fighting_pred-running_0.98.png
1822,C:\Users\umaim\Downloads\archive\Structured\data\test\using_laptop\Image_11507.jpg,using_laptop,sitting,0.9814,failure_cases_resnet\fail_027_using_laptop_pred-sitting_0.98.png
767,C:\Users\umaim\Downloads\archive\Structured\data\test\fighting\Image_11263.jpg,fighting,running,0.9808,failure_cases_resnet\fail_028_fighting_pred-running_0.98.png
66,C:\Users\umaim\Downloads\archive\Structured\data\test\calling\Image_11786.jpg,calling,listening_to_music,0.9804,failure_cases_resnet\fail_029_calling_pred-listening_to_music_0.98.png
934,C:\Users\umaim\Downloads\archive\Structured\data\test\hugging\Image_11264.jpg,hugging,sleeping,0.9790,failure_cases_resnet\fail_030_hugging_pred-sleeping_0.98.png
801,C:\Users\umaim\Downloads\archive\Structured\data\test\fighting\Image_11699.jpg,fighting,running,0.9785,failure_cases_resnet\fail_031_fighting_pred-running_0.98.png
577,C:\Users\umaim\Downloads\archive\Structured\data\test\drinking\Image_11968.jpg,drinking,clapping,0.9751,failure_cases_resnet\fail_032_drinking_pred-clapping_0.98.png
1808,C:\Users\umaim\Downloads\archive\Structured\data\test\using_laptop\Image_11280.jpg,using_laptop,sitting,0.9736,failure_cases_resnet\fail_033_using_laptop_pred-sitting_0.97.png
1140,C:\Users\umaim\Downloads\archive\Structured\data\test\listening_to_music\Image_10827.jpg,listening_to_music,texting,0.9731,failure_cases_resnet\fail_034_listening_to_music_pred-texting_0.97.png
399,C:\Users\umaim\Downloads\archive\Structured\data\test\dancing\Image_10946.jpg,dancing,clapping,0.9720,failure_cases_resnet\fail_035_dancing_pred-clapping_0.97.png
1414,C:\Users\umaim\Downloads\archive\Structured\data\test\sitting\Image_11014.jpg,sitting,sleeping,0.9709,failure_cases_resnet\fail_036_sitting_pred-sleeping_0.97.png
828,C:\Users\umaim\Downloads\archive\Structured\data\test\fighting\Image_12035.jpg,fighting,running,0.9694,failure_cases_resnet\fail_037_fighting_pred-running_0.97.png
1431,C:\Users\umaim\Downloads\archive\Structured\data\test\sitting\Image_11147.jpg,sitting,using_laptop,0.9638,failure_cases_resnet\fail_038_sitting_pred-using_laptop_0.96.png
416,C:\Users\umaim\Downloads\archive\Structured\data\test\dancing\Image_11206.jpg,dancing,listening_to_music,0.9637,failure_cases_resnet\fail_039_dancing_pred-listening_to_music_0.96.png
575,C:\Users\umaim\Downloads\archive\Structured\data\test\drinking\Image_11907.jpg,drinking,texting,0.9627,failure_cases_resnet\fail_040_drinking_pred-texting_0.96.png
1109,C:\Users\umaim\Downloads\archive\Structured\data\test\laughing\Image_12046.jpg,laughing,hugging,0.9616,failure_cases_resnet\fail_041_laughing_pred-hugging_0.96.png
533,C:\Users\umaim\Downloads\archive\Structured\data\test\drinking\Image_11178.jpg,drinking,laughing,0.9608,failure_cases_resnet\fail_042_drinking_pred-laughing_0.96.png
1831,C:\Users\umaim\Downloads\archive\Structured\data\test\using_laptop\Image_11651.jpg,using_laptop,sitting,0.9592,failure_cases_resnet\fail_043_using_laptop_pred-sitting_0.96.png
46,C:\Users\umaim\Downloads\archive\Structured\data\test\calling\Image_11549.jpg,calling,hugging,0.9571,failure_cases_resnet\fail_044_calling_pred-hugging_0.96.png
1650,C:\Users\umaim\Downloads\archive\Structured\data\test\texting\Image_10993.jpg,texting,using_laptop,0.9569,failure_cases_resnet\fail_045_texting_pred-using_laptop_0.96.png
1800,C:\Users\umaim\Downloads\archive\Structured\data\test\using_laptop\Image_11156.jpg,using_laptop,sitting,0.9542,failure_cases_resnet\fail_046_using_laptop_pred-sitting_0.95.png
1017,C:\Users\umaim\Downloads\archive\Structured\data\test\laughing\Image_10609.jpg,laughing,clapping,0.9532,failure_cases_resnet\fail_047_laughing_pred-clapping_0.95.png
1078,C:\Users\umaim\Downloads\archive\Structured\data\test\laughing\Image_11612.jpg,laughing,hugging,0.9530,failure_cases_resnet\fail_048_laughing_pred-hugging_0.95.png
1681,C:\Users\umaim\Downloads\archive\Structured\data\test\texting\Image_11432.jpg,texting,calling,0.9511,failure_cases_resnet\fail_049_texting_pred-calling_0.95.png
1036,C:\Users\umaim\Downloads\archive\Structured\data\test\laughing\Image_10972.jpg,laughing,listening_to_music,0.9496,failure_cases_resnet\fail_050_laughing_pred-listening_to_music_0.95.png
1655,C:\Users\umaim\Downloads\archive\Structured\data\test\texting\Image_11063.jpg,texting,calling,0.9427,failure_cases_resnet\fail_051_texting_pred-calling_0.94.png
974,C:\Users\umaim\Downloads\archive\Structured\data\test\hugging\Image_11929.jpg,hugging,laughing,0.9373,failure_cases_resnet\fail_052_hugging_pred-laughing_0.94.png
56,C:\Users\umaim\Downloads\archive\Structured\data\test\calling\Image_11689.jpg,calling,sitting,0.9353,failure_cases_resnet\fail_053_calling_pred-sitting_0.94.png
1178,C:\Users\umaim\Downloads\archive\Structured\data\test\listening_to_music\Image_11320.jpg,listening_to_music,texting,0.9344,failure_cases_resnet\fail_054_listening_to_music_pred-texting_0.93.png
203,C:\Users\umaim\Downloads\archive\Structured\data\test\clapping\Image_11819.jpg,clapping,dancing,0.9339,failure_cases_resnet\fail_055_clapping_pred-dancing_0.93.png
1261,C:\Users\umaim\Downloads\archive\Structured\data\test\running\Image_10846.jpg,running,dancing,0.9337,failure_cases_resnet\fail_056_running_pred-dancing_0.93.png
409,C:\Users\umaim\Downloads\archive\Structured\data\test\dancing\Image_11045.jpg,dancing,clapping,0.9329,failure_cases_resnet\fail_057_dancing_pred-clapping_0.93.png
1685,C:\Users\umaim\Downloads\archive\Structured\data\test\texting\Image_11503.jpg,texting,using_laptop,0.9313,failure_cases_resnet\fail_058_texting_pred-using_laptop_0.93.png
536,C:\Users\umaim\Downloads\archive\Structured\data\test\drinking\Image_11213.jpg,drinking,sitting,0.9305,failure_cases_resnet\fail_059_drinking_pred-sitting_0.93.png
